id,text,label,source
spm-0001,پیشوازهای به یادمادندنی از مرتضی پاشایی در دومین سالگرد درگذشت قلبم رو تکراره,1,spammodel-sms-spam
spm-0002,مشترک گرامی بانک صادرات، اشتراک شما نیاز به بازبینی دارد. قبل از غیرفعال شدن، روی لینک زیر کلیک کنید.,1,spammodel-similar-spam
spm-0003,گواهی مالیاتی شما در انتظار اقدام است. جهت جلوگیری از جریمه فورا اقدام کنید.,1,spammodel-similar-spam
spm-0004,چیزی تا پایان تخفیف نمونده تخفیف مودم های پرسرعت نسل ثابت ایرانسل خرید از طریق تماس با و از سایر خطوط,1,spammodel-sms-spam
spm-0005,مشترک گرامی، سیم‌کارت شما ناقص است. وگرنه پرونده به مراجع قضایی ارجاع می‌شود. از طریق درگاه زیر پرداخت کنید. click.pay-ir.tk,1,spammodel-extra-spam
spm-0006,"Kelas farda tashkil nemishe, ostad goft",0,spammodel-finglish-ham
spm-0007,کاربر عزیز، مبلغ قابل توجهی به عنوان پاداش وفاداری برای شما محاسبه شده است. در غیر این صورت، این امتیاز به‌صورت خودکار باطل می‌شود. برای جلوگیری از مسدود شدن، هویت خود را تأیید کنید.,1,spammodel-formal-scam
spm-0008,شروع ثبت نام ترم تابستان به همراه تخفیف ویژه ارسال ایرانمهر,1,spammodel-sms-spam
spm-0009,"به کاربر گرامی, ما یک تلاش مشکوک برای ورود به حساب شما از موقعیت جغرافیایی جدید شناسایی کردیم. برای حفظ امنیت, رمز عبور را تغییر دهید.",1,spammodel-phishing
spm-0010,عزیز، سهام عدالت شما تعلیق شده است. قبل از حذف. رمز پویای خود را ارسال نمایید. t.me/fastloan,1,spammodel-extra-spam
spm-0011,"با توجه به اعلام وضعیت قرمز در تهران, محدوده مجاز تردد با دوچرخه های بیدود افزایش یافت برای مشاهده محدوده جدید, اپلیکیشن را آپدیت کنید",1,spammodel-sms-spam
spm-0012,مشترک گرامی رایتل، کارت شما مسدود شده است. در غیر این صورت حساب مسدود می‌شود، اطلاعات کارت را وارد نمایید.,1,spammodel-similar-spam
spm-0013,"سرویس امنیتی, به دلیل بروزرسانی سیستم, دسترسی شما موقتا محدود شده است. برای ادامه دسترسی وارد شوید: support-login.xyz",1,spammodel-phishing
