id,text,label,source
t2-0001,تو این روزگاری که کسی تا پول ندی جواب سلامت رو نمیده اینکه شما اینطور دانشتون رو نشر میدین واقعا جای قدردانی داره سپاس بیکران,0,youtube-tutorials
t2-0002,واقعا خیلی مردی که به جای اینکه این دوره هارو خداد تومن بفروشی رایگان میزاری فوق العاده ای منم چنلتو به کلی از دوستام معرفی کردم بیان عشق کنن دمت گرم,0,youtube-tutorials
t2-0003,بسیار عالی بود خدا خیرتون بده که به جوونای این مملکت کمک میکنید ایشالا هرچی که میخواهید خدا بهتون بده و عاقبت بخیر بشوید,0,youtube-tutorials
t2-0004,عالیه ولی اگر ممکنه دوره پروژه محور هم بزارید که پروژه های کاربردی توش باشه,0,youtube-tutorials
t2-0005,بی نقص توی یک ساعت اندازه ی یک ماه آموزشگاه رو بهترش رو درس میدین🎉😂❤,0,youtube-tutorials
t2-0006,چندین آموزش پایتون دیدم. به جرات میگم کامل کامله و بسیار عالی آموزش داده شده.,0,youtube-tutorials
t2-0007,عالی و کاملا مناسب برای افرادی که تازه میخوان شروع کنن . فقط کاش یک جزوه هم قرار میدادید تا این اثر فوق‌العاده تکمیل میشد,0,youtube-tutorials
t2-0008,اگر کاملاً مبتدی و صفر کیلومتر هستید، پیشنهاد می‌کنم این ویدیو رو به‌عنوان دوره‌ی اولتون نبینید. اوایل ویدیو مطالب قابل فهمه، اما هرچی مباحث سخت‌تر می‌شن، توضیحات و مثال‌ها کافی نیستن و ممکنه خیلی از مطالب رو متوجه نشید. برای کسی که هیچ پیش‌زمینه‌ای از پایتون نداره، آموزش روان و کاملی نیست.,0,youtube-tutorials
t2-0009,‏‪10:30:29‬‏ جالبه الان ۲۰۲۵ هستیم و دارم ویدیوتون رو میبینم ، ممنون❤,0,youtube-tutorials
t2-0010,فوق‌العاده بود من به هرکی که خواست برنامه نویسی شروع کنه اول شمارو معرفی کردم بهش,0,youtube-tutorials
t2-0011,من دارم از ۲۰۲۶ میبینم و واقعا عالیه کلی ازتون یاد گرفتم ، امیدوارم بتونم حرفه ای بشم توش و به ثمر برسونم,0,youtube-tutorials
t2-0012,سلام استاد اگه میشه یک دوره جنگو برای پایتون ضبط کنید به نظرم مخاطب زیادی داره مخصوصا الان که این دوره پایتون شما هفتصد هزار مرتبه دیده شده بنظرم از جنگو هم استقبال زیادی میشه,0,youtube-tutorials
t2-0013,من الان کامنتارو خوندم، کاشکی واقعا عالی باشی استاد,0,youtube-tutorials
t2-0014,چه ایده خوبی که تو یک ویدیو تموم میکنی داستان رو اولین نفی هستی که به این سبک درس میدی دم شما گرم,0,youtube-tutorials
t2-0015,بین تمام اموزش هایی که دیدم توی این چند ساله .شما جدای از اینکه کامل تر و واضح تر توضیح دادین. اومدی بصورت کامل و از صفر تا صد هم در اختیار مون قرار دادین این اطلاعات رو .ممنون بابت اموزش خوبتون و حسن نیت تون,0,youtube-tutorials
t2-0016,خیلی عالی بود کلی یاد گرفتم به جرأت می‌توانم بگم در مقایسه با بقیه ویدیو های اموزش پایتون این کامل ترین و ساده ترین و بهترین اموزشی بود که دیدم، خیلی زحمت کشیدی... ممنون و خسته نباشید.,0,youtube-tutorials
t2-0017,سال 2026 و مسیر تحلیلگری داده که من رو به مسیر جذاب برنامه نویسی و پایتون رسوند. سپاس فراوان از شما به خاطر به اشتراک گذاری با ارزش ترین دارایی تان یعنی دانش 💙,0,youtube-tutorials
t2-0018,استاد عزیز من توی 4 ماه ویدیو شما را کامل نگاه کردم و چندین اموزش پایتون دیده بودم به جرعت می تونم بگم ویدیو شما هم کامل و کوتاه بود و این که اومیدوارم یه روز بتونم جبران کنم خیلی ازتون سپاس گزارم که این اموزش ها رایگان در اختیار جوانان کشورمون گزاشتی و می تونیم استفاده رایگان کنیم بازم ازتون سپاس گزارم,0,youtube-tutorials
t2-0019,خیلی ممنون عالیه کامل ترین کانال آموزش برنامه نویسی❤,0,youtube-tutorials
t2-0020,سلام، ممنونم از این آموزش کامل و جامع و بی حاشیه که باعث می شود هنرجو بدون فکر اضافه برنامه نویسی را فرا بگیرد، خدا قوت قهرمان,0,youtube-tutorials
