id,text,label,source
gen-0001,این فصل خیلی سریع رد شد اصلا نفهمیدم,0,gen-criticism
gen-0002,صدا در بعضی قسمت‌ها خرابه,0,gen-criticism
gen-0003,چرا جلسه آخر رو عجله‌ای بستید؟,0,gen-criticism
gen-0004,به نظرم سطح دوره بعد از پنجمین جلسه افت کرد,0,gen-criticism
gen-0005,انتخاب مثال‌ها خیلی خوب نبود به نظرم,0,gen-criticism
gen-0006,سرعت ارائه برای مبتدی‌ها زیاده,0,gen-criticism
gen-0007,پیشنهاد میکنم تمرین بیشتری بگذارید,0,gen-criticism
gen-0008,من که راضی نبودم، توضیحا پیچیده بود,0,gen-criticism
gen-0009,دوره خوبه ولی ضبطش بی‌کیفیت,0,gen-criticism
gen-0010,چرا قیمت دوره اینقدر گرونه؟,0,gen-criticism
gen-0011,با احترام، این روش تدریس قدیمی شده,0,gen-criticism
gen-0012,پاورپوینت‌ها کم‌رنگه، خوندنش سخته,0,gen-criticism
gen-0013,چرا به سوال‌ها جواب نمیدید استاد؟,0,gen-criticism
gen-0014,مقدمه زیادی طولانی بود، میشد کوتاه‌تر,0,gen-criticism
gen-0015,انتظار داشتم پروژه بزرگ‌تری باشه,0,gen-criticism
gen-0016,موسیقی پس‌زمینه حواس رو پرت میکنه,0,gen-criticism
gen-0017,این جلسه تکراری بود، چیزی جدید نداشت,0,gen-criticism
gen-0018,میشه اسلایدها رو هم برای دانلود بگذارید؟,0,gen-criticism
gen-0019,چرا وسط درس تبلیغ میکنید؟,0,gen-criticism
gen-0020,لحن تند نشه ولی واقعا باید روی انگلیسیتون کار کنید,0,gen-criticism
gen-0021,توضیح دیباگر کم بود به نظرم,0,gen-criticism
gen-0022,برای من که کاربردی نبود، ولی ممنون از زحمتتون,0,gen-criticism
gen-0023,چرا سری قبلی رو حذف کردید؟,0,gen-criticism
gen-0024,کیفیت تصویر بیشتر از 480p نیست؟,0,gen-criticism
gen-0025,این الگوریتم رو بد توضیح دادید، از منبع دیگه یاد گرفتم,0,gen-criticism
gen-0026,انتقاد دارم: تست‌های پایان فصل خیلی ساده بودن,0,gen-criticism
gen-0027,فایل جلسه ۱۲ ارور داره، درستش کنید لطفا,0,gen-criticism
gen-0028,با توجه به قیمت، انتظار پشتیبانی بهتری داشتم,0,gen-criticism
gen-0029,چرا زیرنویس انگلیسی نداره؟,0,gen-criticism
gen-0030,ویدیوها رو کوتاه‌تر کنید، حوصله سر میره,0,gen-criticism
gen-0031,استاد سوالای کامنت رو بی‌جواب میذارید,0,gen-criticism
gen-0032,این قسمت باید قبل از کلاس‌ها میومد، ترتیب خوب نیست,0,gen-criticism
gen-0033,من دوره قبلیتون رو بهتر میدونستم,0,gen-criticism
gen-0034,تو این فصل فقط تعریف دادید، مثال عملی کم بود,0,gen-criticism
gen-0035,چرا از تایپ‌هینت استفاده نمی‌کنید؟,0,gen-criticism
gen-0036,صدای کیبورد ضبط میشه، اذیت میکنه,0,gen-criticism
gen-0037,خلاصه‌گویی کمه، حرفا زیاد تکرار میشن,0,gen-criticism
gen-0038,برای بچه مدرسه‌ای‌ها سخته، میشه ساده‌تر کنید؟,0,gen-criticism
gen-0039,من مالی خوندم و دارم میبینم، ولی پیچیدگیش برای عموم بالاست,0,gen-criticism
gen-0040,دوره خوبی بود ولی توضیح ریاضیاتش ضعیفه,0,gen-criticism
gen-0041,قیمت دوره‌ها به نسبت رقبا گرونه، بازنگری کنید,0,gen-criticism
